locus_tag	ftype	length_bp	gene	EC_number	COG	product
53965_StreptomycesisolateR1_00001	CDS	642		3.2.2.-		Putative 3-methyladenine DNA glycosylase
53965_StreptomycesisolateR1_00002	CDS	783	spo0M		COG4326	Sporulation-control protein spo0M
53965_StreptomycesisolateR1_00003	CDS	540			COG1881	UPF0098 protein Rv2140c
53965_StreptomycesisolateR1_00004	CDS	507				hypothetical protein
53965_StreptomycesisolateR1_00005	CDS	960			COG0330	Uncharacterized protein Rv1488
53965_StreptomycesisolateR1_00006	CDS	432				hypothetical protein
53965_StreptomycesisolateR1_00007	CDS	798	ylmA_1	3.6.3.-	COG1119	Uncharacterized ABC transporter ATP-binding protein YlmA
53965_StreptomycesisolateR1_00008	CDS	726				Uncharacterized protein Rv1486c
53965_StreptomycesisolateR1_00009	CDS	249				hypothetical protein
53965_StreptomycesisolateR1_00010	CDS	642	liaR_1		COG2197	Transcriptional regulatory protein LiaR
53965_StreptomycesisolateR1_00011	CDS	1146				hypothetical protein
53965_StreptomycesisolateR1_00012	CDS	696		1.-.-.-	COG4221	Uncharacterized oxidoreductase Rv0484c
53965_StreptomycesisolateR1_00013	CDS	1185	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
53965_StreptomycesisolateR1_00014	CDS	720				hypothetical protein
53965_StreptomycesisolateR1_00015	CDS	2394		3.6.3.-	COG0842	ABC transporter ATP-binding/permease protein Rv1747
53965_StreptomycesisolateR1_00016	CDS	2427				hypothetical protein
53965_StreptomycesisolateR1_00017	CDS	1245		3.1.3.3	COG0560	Phosphoserine phosphatase
53965_StreptomycesisolateR1_00018	CDS	519		3.1.3.-	COG2062	Uncharacterized protein Rv1276c
53965_StreptomycesisolateR1_00019	CDS	207				hypothetical protein
53965_StreptomycesisolateR1_00020	CDS	117				hypothetical protein
53965_StreptomycesisolateR1_00021	CDS	1365	yycB		COG2807	Uncharacterized transporter YycB
53965_StreptomycesisolateR1_00022	CDS	693	lutR_1		COG2186	HTH-type transcriptional regulator LutR
53965_StreptomycesisolateR1_00023	CDS	768	inhA_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH]
53965_StreptomycesisolateR1_00024	CDS	705	fabG1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG1
53965_StreptomycesisolateR1_00025	CDS	1524	tldD	3.4.-.-	COG0312	Metalloprotease TldD
53965_StreptomycesisolateR1_00026	CDS	1398				hypothetical protein
53965_StreptomycesisolateR1_00027	CDS	1269	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
53965_StreptomycesisolateR1_00028	CDS	282				hypothetical protein
53965_StreptomycesisolateR1_00029	CDS	384				hypothetical protein
53965_StreptomycesisolateR1_00030	CDS	249				hypothetical protein
53965_StreptomycesisolateR1_00031	CDS	990	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
53965_StreptomycesisolateR1_00032	CDS	1635	mctC_1		COG4147	Monocarboxylic acid transporter
53965_StreptomycesisolateR1_00033	CDS	399				hypothetical protein
53965_StreptomycesisolateR1_00034	CDS	1539				hypothetical protein
53965_StreptomycesisolateR1_00035	CDS	309				hypothetical protein
53965_StreptomycesisolateR1_00036	CDS	933				hypothetical protein
53965_StreptomycesisolateR1_00037	CDS	993	polC_1	2.7.7.7		DNA polymerase III PolC-type
53965_StreptomycesisolateR1_00038	CDS	234				hypothetical protein
53965_StreptomycesisolateR1_00039	CDS	792			COG3346	Uncharacterized SURF1-like protein Rv2235
53965_StreptomycesisolateR1_00040	CDS	1788		3.2.1.28	COG3387	Trehalase
53965_StreptomycesisolateR1_00041	CDS	756	gdhI_1	1.1.1.47	COG1028	Glucose 1-dehydrogenase 1
53965_StreptomycesisolateR1_00042	CDS	588				hypothetical protein
53965_StreptomycesisolateR1_00043	CDS	675				hypothetical protein
53965_StreptomycesisolateR1_00044	CDS	384				hypothetical protein
53965_StreptomycesisolateR1_00045	CDS	186				hypothetical protein
53965_StreptomycesisolateR1_00046	CDS	654				hypothetical protein
